run_no,loc,x_1,y_1,x_2,y_2,pix_dist,camera
1,A,3300.0,493.0,3300.0,538.0,45.0,Left
1,B,3170.4418604651164,3122.1962025316457,3221.8646153846153,3173.0984615384614,50.90225900681571,Left
1,A,1480.0,262.0,1480.0,316.0,54.0,Middle
1,B,2179.268493150685,3239.4317343173434,2258.5223214285716,3257.0,17.5682656826566,Middle
1,A,1980.0,181.0,1980.0,236.0,55.0,Middle Left
1,B,2930.1983805668015,3197.8822115384614,3010.79180887372,3214.839590443686,16.957378905224687,Middle Left
1,A,0.0,0.0,0.0,0.0,0.0,Right
1,B,1201.939909297052,3161.741405082212,1293.2680965147454,3140.378016085791,-21.363388996421236,Right
2,A,3301.0,493.0,3301.0,537.0,44.0,Left
2,B,3164.870801033592,3123.283088235294,3221.384393063584,3174.115606936416,50.8325187011219,Left
2,A,1478.0,263.0,1478.0,315.0,52.0,Middle
2,B,2179.6794871794878,3238.9417808219177,2259.3037974683543,3258.8322784810125,19.890497659094763,Middle
2,A,1956.0,181.0,1956.0,236.0,55.0,Middle Left
2,B,2931.1122661122663,3196.710997442455,3012.585062240664,3213.0414937759338,16.33049633347855,Middle Left
2,A,4.0,109.0,4.0,164.0,55.0,Right
2,B,1204.509911894273,3163.866568914956,1341.8143459915611,3118.392405063292,-45.4741638516648,Right
3,A,3302.0,492.0,3302.0,540.0,48.0,Left
3,B,3176.1880597014924,3118.5656108597286,3219.42,3175.316,56.75038914027118,Left
3,A,1480.0,262.0,1480.0,320.0,58.0,Middle
3,B,2180.280112044818,3230.648221343873,2256.6030927835054,3254.809278350516,24.16105700664184,Middle
3,A,1978.0,181.0,1978.0,239.0,58.0,Middle Left
3,B,2928.6894273127755,3187.1,3011.391930835735,3214.798270893372,27.698270893371955,Middle Left
3,A,0.0,0.0,0.0,0.0,0.0,Right
3,B,1193.2350993377484,3158.830945558739,1274.9379310344827,3137.579310344828,-21.251635213911413,Right
